duration,protocol,service,src_bytes,dst_bytes,packet_size,src_packets,dst_packets,login_attempts,attack_type
29,tcp,dns,3401,3981,898,6,2,3,attack
58,icmp,http,3004,437,179,4,46,10,attack
18,icmp,http,2487,823,1491,21,28,0,normal
29,icmp,dns,351,1102,599,39,46,4,attack
42,udp,http,4442,1315,288,32,30,0,normal
37,tcp,dns,439,3598,911,11,1,9,attack
18,udp,ssh,2050,3069,256,23,29,1,normal
11,icmp,http,3816,778,1124,30,37,4,normal
32,tcp,dns,4518,3908,1463,46,18,5,attack
3,tcp,ssh,2536,1198,1397,14,25,7,attack
19,icmp,ssh,2230,699,975,29,30,9,attack
1,icmp,ssh,460,2383,1172,1,12,0,normal
27,tcp,dns,4410,3892,195,16,8,0,attack
51,tcp,ssh,4928,862,653,13,49,1,normal
42,udp,ftp,4214,2741,679,2,38,8,attack
30,icmp,ssh,2440,2830,1273,26,45,4,normal
18,icmp,ssh,789,1250,832,2,32,8,attack
21,tcp,ssh,4750,803,734,37,25,3,attack
50,udp,ssh,3774,3528,1421,36,50,10,attack
50,icmp,dns,501,1456,882,47,14,0,attack
4,udp,dns,4947,2025,871,25,5,10,attack
51,udp,http,2155,2818,1185,44,18,1,attack
9,tcp,http,4872,2243,133,10,32,7,attack
49,udp,ssh,929,2074,955,30,16,2,normal
7,tcp,http,402,3676,697,13,30,3,normal
49,tcp,ssh,634,1288,227,30,37,2,normal
30,udp,http,3729,708,1002,39,44,4,attack
46,tcp,ftp,2388,3484,1164,13,9,0,normal
42,icmp,ftp,1095,2876,203,7,18,8,attack
46,icmp,dns,1932,3655,1315,3,22,10,attack
41,icmp,ftp,2369,1097,1453,32,21,9,attack
9,tcp,ssh,3008,3559,1335,47,11,1,attack
12,tcp,dns,995,2930,446,4,32,9,attack
34,udp,http,1611,1437,1250,27,23,10,attack
54,tcp,http,3371,3250,711,49,2,10,attack
6,tcp,dns,199,1320,271,12,20,8,attack
37,udp,ftp,4606,864,434,31,9,1,normal
48,udp,dns,4046,982,1121,5,37,7,attack
20,tcp,dns,175,2341,1078,14,47,6,attack
9,tcp,ftp,1224,3342,1140,37,31,4,attack
40,icmp,ssh,3425,3595,1213,24,34,4,attack
12,icmp,ftp,4811,503,1454,44,15,10,attack
36,icmp,dns,2200,3306,328,34,23,8,attack
39,udp,ssh,4199,2223,825,19,24,2,attack
26,tcp,ssh,2188,1019,1350,38,40,6,attack
34,udp,dns,4978,3045,707,48,1,6,attack
41,tcp,ssh,3101,3703,157,7,41,8,attack
9,tcp,ftp,405,2853,1442,2,1,4,normal
4,tcp,http,171,1219,697,16,49,0,normal
15,icmp,dns,4033,3481,1293,1,36,6,attack
31,tcp,ssh,3734,1122,764,37,29,6,attack
34,tcp,http,3747,350,960,2,39,8,attack
1,tcp,ssh,306,200,1484,8,15,7,attack
58,tcp,ssh,1124,3714,130,39,4,7,attack
30,icmp,dns,435,1160,1336,35,4,9,attack
9,udp,ftp,3406,2085,582,15,11,5,attack
21,tcp,ftp,3847,3192,1159,22,12,9,attack
39,tcp,ssh,1690,1505,770,28,9,4,normal
39,tcp,ftp,1315,701,1363,13,26,1,normal
19,icmp,ssh,839,2432,642,17,3,6,attack
10,icmp,http,3815,2386,937,50,5,6,attack
22,icmp,ssh,2857,3078,1497,23,40,7,attack
7,icmp,ftp,905,1765,1298,35,39,7,attack
28,tcp,http,2508,2564,896,16,3,10,attack
14,tcp,ssh,4197,1683,828,48,45,6,attack
58,tcp,http,4246,2245,866,43,32,1,attack
28,tcp,ssh,2201,1512,1091,18,15,4,normal
2,icmp,http,4170,462,881,12,24,0,normal
39,udp,ftp,4140,1211,1407,5,7,2,normal
59,udp,dns,3161,2182,260,40,39,5,attack
49,icmp,http,290,3607,554,36,5,9,attack
4,tcp,ssh,1905,1189,1377,30,14,3,normal
42,tcp,dns,401,1678,449,9,41,0,normal
7,tcp,http,188,3275,814,4,22,0,normal
11,tcp,ssh,2634,1722,293,20,39,0,normal
18,tcp,http,3737,2317,1406,25,30,3,attack
37,icmp,http,2073,539,1225,14,46,10,attack
30,icmp,ssh,1410,3124,987,6,18,8,attack
10,udp,dns,2257,3855,244,36,38,8,attack
3,icmp,ssh,4019,1444,968,3,31,9,attack
46,udp,ssh,1252,1013,475,6,11,1,normal
11,icmp,http,4682,960,925,41,6,3,attack
2,tcp,dns,3928,1057,221,42,34,10,attack
4,tcp,dns,932,577,330,48,22,10,attack
